service_id,date,exception_type
aiWINT15-WINT15-7-days-29,20150305,2
aiWINT15-WINT15-7-days-29,20150306,2
aiWINT15-WINT15-7-days-29,20150307,2
aiWINT15-WINT15-7-days-29,20150308,2
aiWINT15-WINT15-7-days-29,20150309,2
aiWINT15-WINT15-7-days-29,20150310,2
aiWINT15-WINT15-7-days-29,20150311,2
aiWINT15-WINT15-7-days-29,20150312,2
aiWINT15-WINT15-7-days-29,20150313,2
aiWINT15-WINT15-7-days-29,20150314,2
aiWINT15-WINT15-7-days-29,20150315,2
aiWINT15-WINT15-7-days-29,20150316,2
aiWINT15-WINT15-7-days-29,20150317,2
aiWINT15-WINT15-7-days-29,20150318,2
aiWINT15-WINT15-7-days-29,20150319,2
aiWINT15-WINT15-7-days-29,20150320,2
aiWINT15-WINT15-7-days-29,20150321,2
aiWINT15-WINT15-7-days-29,20150322,2
aiWINT15-WINT15-7-days-29,20150323,2
aiWINT15-WINT15-7-days-29,20150324,2
aiWINT15-WINT15-7-days-29,20150325,2
aiWINT15-WINT15-7-days-29,20150326,2
aiWINT15-WINT15-7-days-29,20150327,2
aiWINT15-WINT15-7-days-29,20150328,2
aiWINT15-WINT15-7-days-29,20150329,2
aiWINT15-WINT15-7-days-29,20150330,2
aiWINT15-WINT15-7-days-29,20150331,2
aiWINT15-WINT15-7-days-29,20150401,2
aiWINT15-WINT15-7-days-29,20150402,2
aiWINT15-WINT15-7-days-29,20150404,2
aiWINT15-WINT15-7-days-29,20150405,2
